Date,Price
2013/1/1,3.334
2013/2/1,3.474
2013/3/1,3.137
2013/4/1,2.889
2013/5/1,2.793
2013/6/1,2.806
2013/7/1,2.996
2013/8/1,3.055
2013/9/1,3.057
2013/10/1,3.029
2013/11/1,2.995
2013/12/1,3.164
2014/1/1,3.237
2014/2/1,3.353
2014/3/1,3.153
2014/4/1,2.938
2014/5/1,2.939
2014/6/1,2.926
2014/7/1,2.863
2014/8/1,2.922
2014/9/1,2.851
2014/10/1,2.687
2014/11/1,2.594
2014/12/1,2.195
2015/1/1,1.9
2015/2/1,2.233
2015/3/1,2.098
2015/4/1,1.8
2015/5/1,1.929
2015/6/1,1.871
2015/7/1,1.701
2015/8/1,1.494
2015/9/1,1.509
2015/10/1,1.555
2015/11/1,1.554
2015/12/1,1.275
2016/1/1,1.183
2016/2/1,1.155
2016/3/1,1.208
2016/4/1,1.193
2016/5/1,1.327
2016/6/1,1.445
2016/7/1,1.297
2016/8/1,1.408
2016/9/1,1.402
2016/10/1,1.58
2016/11/1,1.485
2016/12/1,1.685
2017/1/1,1.761
2017/2/1,1.657
2017/3/1,1.58
2017/4/1,1.572
2017/5/1,1.481
2017/6/1,1.36
2017/7/1,1.468
2017/8/1,1.63
2017/9/1,1.809
2017/10/1,1.805
2017/11/1,1.961
2017/12/1,2.034
2018/1/1,2.209
2018/2/1,2.088
2018/3/1,1.969
2018/4/1,2.075
2018/5/1,2.205
2018/6/1,2.145
2018/7/1,2.133
2018/8/1,2.169
2018/9/1,2.246
2018/10/1,2.437
2018/11/1,2.206
2018/12/1,1.954
2019/1/1,2.021
2019/2/1,2.111
2019/3/1,2.087
2019/4/1,2.073
2019/5/1,2.057
2019/6/1,1.914
2019/7/1,1.969
2019/8/1,1.861
2019/9/1,1.984
2019/10/1,2.003
2019/11/1,2.046
2019/12/1,2.087
2020/1/1,2.008
2020/2/1,1.802
2020/3/1,1.115
2020/4/1,0.837
2020/5/1,0.848
2020/6/1,1.099
2020/7/1,1.172
2020/8/1,1.25
2020/9/1,1.215
2020/10/1,1.293
2020/11/1,1.322
2020/12/1,1.585
2021/1/1,1.688
2021/2/1,1.939
2021/3/1,1.854
2021/4/1,1.816
2021/5/1,1.8
2021/6/1,1.907
2021/7/1,1.94
2021/8/1,1.899
2021/9/1,2.109
2021/10/1,2.434
2021/11/1,2.405
2021/12/1,2.272
